Question Number,Question Text,Paragraph,Transcript,Answers,Right Answer,Answers Translation,Images
108,Some voters have a clear _____ for candidates who have practiced law.,,,"['A. selection', 'B. reflection', 'C. component', 'D. preference']",D,Dịch đáp án: | A. selection (n): sự lựa chọn | B. reflection (n): sự phản ánh | C. component (n): thành phần | D. preference (n): sự yêu thích hơn | Phân tích: Đây là câu về từ vựng nên bạn cần dựa vào nghĩa để đưa ra đáp án chính xác. | => Đáp án đúng là D “preference”. | Dịch câu: Một số cử tri thể hiến sự ưa thích rõ ràng đối với những ứng viên đã hành nghề luật.,
109,The clerk said that _____ fifteen customers had been waiting outside the store for it to open.,,,"['A. rougher', 'B. roughly', 'C. rough', 'D. roughness']",B,"Phân tích: Chỗ trống nằm trong cụm danh từ ""_____ fifteen customers"", đứng trước cả từ hạn định ""fifteen"", nên nó phải là trạng từ để bổ nghĩa cho từ hạn định này --> chọn ""roughly"". | => Đáp án đúng là B. | Dịch câu: Người nhân viên nói rằng khoảng 15 khách hàng đã chờ bên ngoài cửa hàng để đợi nó mở cửa.",
110,"The leaky faucet has been repaired, so visitors may _____ use the first-floor restroom.",,,"['A. however', 'B. once', 'C. now', 'D. quite']",C,"Dịch đáp án: | A. however: mặc dù | B. once: một lần | C. now: bây giờ | D. quite: khá là | Phân tích: Đây là câu về từ vựng nên bạn cần dựa vào nghĩa để đưa ra đáp án chính xác. | => Đáp án đúng là C “now”. | Dịch câu: Chiếc vòi nước bị rò rỉ đã được sửa chữa, vì vậy du khách hiện đã có thể sử dụng phòng vệ sinh ở tầng một.",
111,The _____ of the disease can be significantly slowed by taking the medicine developed by Dr. Toft's team.,,,"['A. progressed', 'B. progression', 'C. progressive', 'D. progressively']",B,"Phân tích: Ta thấy chỗ trống nằm sau một mạo từ (the) và trước một giới từ (of) nên chắc chắn phải là một danh từ --> chọn B ""progression"". | Dịch câu: Sự tiến triển của căn bệnh có thể được làm chậm đi một cách đáng kể bằng cách uống loại thuốc được phát triển bởi đội ngũ của bác sĩ Toft.",
112,"Unfortunately, when the hurricane hit the area, residents as well as public officials were _____ unprepared.",,,"['A. subsequently', 'B. totally', 'C. beneficially', 'D. currently']",B,"Dịch đáp án: | A. subsequently (adv): sau đó | B. totally (adv): hoàn toàn | C. beneficially (adv): có lợi | D. currently (adv): hiện tại | Phân tích: Đây là câu về từ vựng nên bạn cần dựa vào nghĩa để đưa ra đáp án chính xác. | => Đáp án đúng là B “totally”. | Dịch câu: Thật không may, khi cơn bão ập vào khu vực này, các cư dân và cán bộ đều hoàn toàn chưa chuẩn bị sẵn sàng.",
113,The company plans on _____ the salespeople for the expenses they incurred while attending the conference.,,,"['A. reimbursement', 'B. reimbursed', 'C. reimburse', 'D. reimbursing']",D,"Phân tích: Chúng ta có cấu trúc ""plan on doing something"" nghĩa là “dự định làm gì” --> do đó chọn dạng V-ing ""reimbursing"". | => Đáp án đúng là D. | Dịch câu: Công ty lên kế hoạch hoàn tiền cho nhân viên kinh doanh về những khoản chi phí mà họ đã bỏ ra khi tham dự hội nghị.",
114,Ms. Carlton felt comfortable crossing the road because there were no vehicles coming in her _____.,,,"['A. directly', 'B. direction', 'C. direct', 'D. directs']",B,"Phân tích: Ta thấy trước chỗ trống có giới từ ""in"" --> sau giới từ là một cụm danh từ --> ""her _____"" là một cụm danh từ. Cụm danh từ này chỉ mới có tính từ sở hữu ""her"", chưa có danh từ --> chọn danh từ ""direction"". | => Đáp án đúng là B “direction”. | Dịch câu: Cô Carlton cảm thấy thoải mái băng qua đường vì không có phương tiện giao thông nào chạy về hướng của cô ấy.",
115,"_____ the television coverage of the general election, a number of high-profile candidates were interviewed live on air.",,,"['A. During', 'B. About', 'C. While', 'D. Since']",A,"Dịch đáp án: | A. During: trong thời gian | B. About: về… | C. While: trong khi | D. Since: kể từ khi/ bởi vì | Phân tích: Nghĩa của ""during"" và ""while"" là phù hợp nhất. Tuy nhiên, sau chỗ trống là một cụm danh từ, nên ta cần dùng một giới từ để điền vào chỗ trống. Chọn đáp án C ""during"". | Dịch câu: Trong thời gian đưa tin truyền hình về cuộc tổng bầu cử, một số ứng cử viên nổi tiếng đã được phỏng vấn trực tiếp trên sóng truyền hình.",
116,Mr. Hicks _____ seating near the stage in the concert hall for important clients.,,,"['A. cooperated', 'B. entertained', 'C. loosened', 'D. reserved']",D,Dịch đáp án: | A. cooperated (v): hợp tác | B. entertained (v): giải trí | C. loosened (v): nới lỏng | D. reserved (v): dành riêng | Phân tích: Đây là câu về từ vựng nên bạn cần dựa vào nghĩa để đưa ra đáp án chính xác. | => Đáp án đúng là D “reserved”. | Dịch câu: Mr. Hicks đã đặt trước những chiếc ghế gần sân khấu của phòng hòa nhạc cho những vị khách quan trọng.,
117,"Fritz Center, the venue _____ hosts the film industry's awards banquet, is undergoing an ambitious expansion project.",,,"['A. that', 'B. where', 'C. what', 'D. even']",A,"Phân tích: ""_____ hosts the film industry's awards banquet"" là mệnh đề quan hệ bổ nghĩa cho danh từ ""venue"". Chúng ta cần điền đại từ quan hệ có thể đóng vai trò chủ ngữ cho mệnh đề quan hệ này --> chọn đáp án A ""that"". | Dịch câu: Fritz Center, địa điểm tổ chức buổi tiệc trao giải của ngành phim ảnh, đang trải qua một dự án mở rộng đầy tham vọng.",
118,The monthly staff dinners give employees from different departments the chance to interact with _____ on a personal level.,,,"['A. other', 'B. neither', 'C. every', 'D. each other']",D,"Phân tích: Đây là câu về từ vựng nên bạn cần dựa vào nghĩa để đưa ra đáp án chính xác. | Cần điền một đáp án phù hợp về nghĩa và ngữ pháp. Đáp án B và C không hợp nghĩa, đáp án A để phù hợp thì phải ở dạng số nhiều (others). | Dịch câu: Những bữa ăn dành cho nhân viên hàng tháng mang đến cho các nhân viên từ những bộ phận khác nhau cơ hội để tương tác ở mức độ cá nhân.",
119,Landlords are required to _____ with the regulations set by the Regional Department of Safe Housing.,,,"['A. reinforce', 'B. comply', 'C. fulfill', 'D. interfere']",B,Dịch đáp án: | A. reinforce (v): củng cố | B. comply (v): tuân thủ | C. fulfill (v): thực hiện | D. interfere (v): can thiệp | Phân tích: Đây là câu về từ vựng nên bạn cần dựa vào nghĩa để đưa ra đáp án chính xác. | Dịch câu: Những người cho thuê nhà được yêu cầu phải tuân theo luật lệ được đề ra bởi bộ phận An ninh nhà ở địa phương.,
120,A sturdy support beam was added to the first story of the building for _____ reasons.,,,"['A. structures', 'B. structurally', 'C. structure', 'D. structural']",D,"Phân tích: Ta thấy trước chỗ trống có giới từ ""for"" --> sau giới từ là một cụm danh từ --> ""_____ reasons"" là một cụm danh từ. Cụm danh từ này đã có danh từ chính (reasons), vì vậy từ trước đó phải là từ bổ nghĩa cho danh từ chính này --> ""structure"" hoặc ""structural"". Dựa vào nghĩa, ta chọn ""structural"". | Dịch câu: Một trụ đỡ vững chắc đã được thêm vào tầng một của toà nhà vì lý do liên quan đến cấu trúc.",
121,Eco Unite is a non-profit organization _____ to educating the public about environmental issues.,,,"['A. proposed', 'B. deferred', 'C. dedicated', 'D. observed']",C,Dịch đáp án: | A. proposed (v): đề xuất | B. deferred (v): hoãn lại | C. dedicated (v): tận tâm | D. observed (v): quan sát | Phân tích: Đây là câu về từ vựng nên bạn cần dựa vào nghĩa để đưa ra đáp án chính xác. | => Đáp án đúng là C “dedicated”. | Dịch câu: Eco Unite là một tổ chức phi lợi nhuận được lập nên để giáo dục công chúng về những vấn đề môi trường.,
122,It is essential that the logo for Prime Vitamins be integrated _____ all of its catalogs and mailings.,,,"['A. into', 'B. of', 'C. as', 'D. than']",A,"Phân tích: Chúng ta có cấu trúc từ ""integrate A into B"" --> chuyển thành bị động là ""A + to be + integrated into B"" (tương ứng với câu trên là ""The logo for Prime Vitamins + be + integrated into all of its catalogs and mailings"") --> chọn giới từ ""into"". | => Đáp án đúng là A. | Dịch câu: Việc biểu tượng của Prime Vitamins được tích hợp vào tất cả các danh mục và thư từ là cần thiết.",
123,"Despite receiving rejections from several major publishers, Ian Wright _____ to become a world-famous novelist.",,,"['A. gave up', 'B. figured out', 'C. brought down', 'D. went on']",D,"Dịch đáp án: | A. gave up: từ bỏ | B. figured out: tìm ra | C. brought down: đưa xuống | D. went on: sau đó | Phân tích: Nghĩa của phrasal verb ""go on to do something"" là "" làm gì đó sau khi đã làm gì đó"". Chúng ta thường dịch một cách tự nhiên hơn là ""sau đó làm gì đó"". | Ví dụ 1: After defeating England, Brazil went on to become the champion. | Dịch: SAU KHI đánh bại Anh, Brazil đã trở thành nhà vô địch. | Ví dụ 2: Brazil went on to become the champion. | Dịch: Brazil SAU ĐÓ đã trở thành nhà vô địch (ngầm hiểu là sau khi đã làm gì đó). | => Đáp án đúng là D “went on”. | Dịch câu: Dù nhận được những lời bác bỏ từ một vài nhà xuất bản lớn, Ian Wright sau đó đã trở thành một tiểu thuyết gia nổi tiếng thế giới.",
124,Mr. Burrows was praised for creating _____ user manuals which can be easily understood.,,,"['A. inform', 'B. informant', 'C. informs', 'D. informative']",D,"Phân tích: Cụm ""_____ user manuals which can be easily understood"" là cụm danh từ đóng vai trò tân ngữ của động từ ""creating"". Trong cụm danh từ này, danh từ chính của cụm là ""manuals"". Chỗ trống đứng trước danh từ nên cần bổ nghĩa cho danh từ --> chọn D ""informative"". | Dịch câu: Ông Burrows đã được khen ngợi vì đã tạo ra những quyển hướng dẫn người dùng cung cấp nhiều thông tin và dễ hiểu.",
125,"Even though Ms. Garcia had a small account at the financial institution, the employee treated her _____ she were a major investor.",,,"['A. rather than', 'B. in spite of', 'C. as if', 'D. provided that']",C,"Phân tích: Chỗ trống nằm giữa 2 mệnh đề, nên nó phải là liên từ để có thể nối 2 mệnh đề lại với nhau. Sau đó, dựa vào nghĩa, ta chọn liên từ ""as if"". | Nghĩa các đáp án còn lại: | A. chứ không phải | B. bất chấp | D. với điều kiện là | Dịch câu: Mặc dù cô Garcia có một tài khoản nhỏ tại viện tài chính đó, nhân viên đối đãi với cô ấy như thể cô ấy là một nhà đầu tư lớn.",
126,"When you return an item by mail, be sure the receipt is _____ to the request form to expedite processing.",,,"['A. attachment', 'B. attached', 'C. attaching', 'D. attach']",B,"Phân tích: Trước chỗ trống có từ ""is"", ta có 3 trường hợp: | 1. is attachment = là vật đính kèm --> không đúng ngữ pháp, vì ""attachment"" là danh từ số ít, bắt buộc phải có từ hạn định đứng trước, mà câu này lại không có. | 2. is attached = được đính kèm --> hợp lý. | 3. is attaching = đang đính kèm --> không hợp lý, vì sau động từ ""attach"" phải có tân ngữ (đính kèm cái gì đó), mà trong câu này không có tân ngữ. | => Đáp án đúng là B “attached”. | Dịch câu: Khi bạn trả một vật qua đường bưu điện, hãy đảm bảo rằng hóa đơn được đính kèm với mẫu yêu cầu để xúc tiến việc xử lý nhanh hơn.",
127,The witness saw only a _____ figure standing near the lamp post shortly before the crime was committed.,,,"['A. solitary', 'B. spare', 'C. previous', 'D. random']",A,"Dịch đáp án: | A. solitary (adj): đơn độc | B. spare (adj): thừa, dự trữ | C. previous (adj): trước đó | D. random (adj): ngẫu nhiên | Phân tích: Đây là câu về từ vựng nên bạn cần dựa vào nghĩa để đưa ra đáp án chính xác. | => Đáp án đúng là A “solitary”. | Dịch câu: Nhân chứng chỉ nhìn thấy một người đứng một mình gần cột đèn không lâu trước khi vụ án xảy ra.",
128,Ben Sanders _____ designed the suitcase to fold up easily for compact storage.,,,"['A. innovatively', 'B. innovate', 'C. innovative', 'D. innovation']",A,"Phân tích: Câu này đã đầy đủ về mặt ngữ pháp, ta chỉ có thể điền một trạng từ để bổ  nghĩa cho động từ ""designed"". Chọn A ""innovatively"". | Dịch câu: Ben Sanders đã thiết kế cải tiến chiếc va-li gập lại dễ dàng để cho việc chứa đồ gọn nhẹ.",
129,"Because the weather was warmer than usual this summer, the crops _____ a few weeks early.",,,"['A. have been harvesting', 'B. will have harvested', 'C. are harvesting', 'D. will be harvested']",D,"Phân tích: Vụ mùa thì phải ""được thu hoạch"" (bị động), không thể ""tự thu hoạch"" (chủ động). Vì vậy, chọn dạng bị động ""will be harvested"". | => Đáp án đúng là D. | Dịch câu: Vì thời tiết đã ấm hơn bình thường trong mùa hè này, vụ mùa sẽ được thu hoạch sớm hơn vài tuần.",
130,"_____ auditing the financial records of Rockford Consulting, the accountant will submit an official report.",,,"['A. In addition', 'B. Given', 'C. For example', 'D. Upon']",D,"Dịch đáp án: | A. In addition: ngoài ra | B. Given: cho trước | C. For example: ví dụ | D. Upon: khi | Phân tích: Ta thấy sau chỗ trống là một cụm V-ing (auditing...), vì vậy trước chỗ trống là giới từ --> chọn D. ""upon"" vì nó phù hợp với ngữ cảnh. | Dịch câu: Khi kiểm toán các bản ghi tài chính của Rockford Consulting, kế toán sẽ nộp một bản báo cáo chính thức.",
131,(131),"Urgent! Journeyman Plumber NeededAce Plumbing is looking for an experienced plumber to join our _____(131) business here in Columbia. _____(132). We have always been a family-owned-and-run business, but with the _____(133) increase in Columbia's population over the last three years, we have an opportunity to welcome in a new journeyman plumber. The candidate should have experience with all _____(134) of plumbing, both commercial and residential. Please send your resume to aceplumbing@gmail.com and we will schedule an interview.","Gấp! Cần thợ sửa ống nước thạo việcAce Plumbing đang tìm kiếm một thợ sửa ống nước có kinh nghiệm gia nhập vào doanh nghiệp đang mở rộng của chúng tôi ở đây tại Columbia. Ace Plumbing đã phục vụ khu vực Columbia từ 1954. Chúng tôi đã luôn là một doanh nghiệp gia đình, nhưng với sự gia tăng mạnh mẽ của dân số Columbia trong 3 năm qua, chúng tôi có cơ hội để chào đón một thợ sửa ống nước thạo việc mới. Ứng cử viên cần phải có kinh nghiệm với tất cả các loại hình sửa ống nước, cả thương nghiệp lẫn dân cư. Vui lòng gửi sơ yếu lý lịch đến aceplumbing@gmail.com và chúng tôi sẽ sắp xếp một buổi phỏng vấn.","['A. expanding', 'B. expecting', 'C. contracting', 'D. controlling']",A,"Dịch đáp án: | A. expanding (v): mở rộng | B. expecting (v): mong đợi | C. contracting (v): ký hợp đồng | D. controlling (v): kiểm soát | ------- | Doanh nghiệp đang mở rộng thì mới muốn tuyển thêm nhân viên --> chọn ""expanding"".",
132,(132),"Urgent! Journeyman Plumber NeededAce Plumbing is looking for an experienced plumber to join our _____(131) business here in Columbia. _____(132). We have always been a family-owned-and-run business, but with the _____(133) increase in Columbia's population over the last three years, we have an opportunity to welcome in a new journeyman plumber. The candidate should have experience with all _____(134) of plumbing, both commercial and residential. Please send your resume to aceplumbing@gmail.com and we will schedule an interview.","Gấp! Cần thợ sửa ống nước thạo việcAce Plumbing đang tìm kiếm một thợ sửa ống nước có kinh nghiệm gia nhập vào doanh nghiệp đang mở rộng của chúng tôi ở đây tại Columbia. Ace Plumbing đã phục vụ khu vực Columbia từ 1954. Chúng tôi đã luôn là một doanh nghiệp gia đình, nhưng với sự gia tăng mạnh mẽ của dân số Columbia trong 3 năm qua, chúng tôi có cơ hội để chào đón một thợ sửa ống nước thạo việc mới. Ứng cử viên cần phải có kinh nghiệm với tất cả các loại hình sửa ống nước, cả thương nghiệp lẫn dân cư. Vui lòng gửi sơ yếu lý lịch đến aceplumbing@gmail.com và chúng tôi sẽ sắp xếp một buổi phỏng vấn.","['A. Ace Plumbing has been servicing the Columbia area since 1954.', 'B. We have little connection to the community.', 'C. We have been struggling to pay our bills.', 'D. Ace Plumbing is in financial trouble.']",A,"Dịch đáp án: | A. Ace Plumbing đã phục vụ khu vực Columbia từ năm 1954. | B. Chúng tôi có ít sự kết nối với cộng đồng. | C. Chúng tôi đang gặp khó khăn trong việc thanh toán các hóa đơn. | D. Ace Plumbing đang gặp khó khăn về tài chính. | ------- | Dựa vào câu trước và những câu sau, chúng ta nhận thấy chỉ có câu A là hợp lý.",
133,(133),"Urgent! Journeyman Plumber NeededAce Plumbing is looking for an experienced plumber to join our _____(131) business here in Columbia. _____(132). We have always been a family-owned-and-run business, but with the _____(133) increase in Columbia's population over the last three years, we have an opportunity to welcome in a new journeyman plumber. The candidate should have experience with all _____(134) of plumbing, both commercial and residential. Please send your resume to aceplumbing@gmail.com and we will schedule an interview.","Gấp! Cần thợ sửa ống nước thạo việcAce Plumbing đang tìm kiếm một thợ sửa ống nước có kinh nghiệm gia nhập vào doanh nghiệp đang mở rộng của chúng tôi ở đây tại Columbia. Ace Plumbing đã phục vụ khu vực Columbia từ 1954. Chúng tôi đã luôn là một doanh nghiệp gia đình, nhưng với sự gia tăng mạnh mẽ của dân số Columbia trong 3 năm qua, chúng tôi có cơ hội để chào đón một thợ sửa ống nước thạo việc mới. Ứng cử viên cần phải có kinh nghiệm với tất cả các loại hình sửa ống nước, cả thương nghiệp lẫn dân cư. Vui lòng gửi sơ yếu lý lịch đến aceplumbing@gmail.com và chúng tôi sẽ sắp xếp một buổi phỏng vấn.","['A. monstrous', 'B. dramatic', 'C. impossible', 'D. insane']",B,"Dịch đáp án: | A. monstrous (adj): quái dị | B. dramatic (adj): mạnh mẽ | C. impossible (adj): không thể | D. insane (adj): điên rồ | ------- | Dựa vào nghĩa của câu, ta chọn ""dramatic"".",
134,(134),"Urgent! Journeyman Plumber NeededAce Plumbing is looking for an experienced plumber to join our _____(131) business here in Columbia. _____(132). We have always been a family-owned-and-run business, but with the _____(133) increase in Columbia's population over the last three years, we have an opportunity to welcome in a new journeyman plumber. The candidate should have experience with all _____(134) of plumbing, both commercial and residential. Please send your resume to aceplumbing@gmail.com and we will schedule an interview.","Gấp! Cần thợ sửa ống nước thạo việcAce Plumbing đang tìm kiếm một thợ sửa ống nước có kinh nghiệm gia nhập vào doanh nghiệp đang mở rộng của chúng tôi ở đây tại Columbia. Ace Plumbing đã phục vụ khu vực Columbia từ 1954. Chúng tôi đã luôn là một doanh nghiệp gia đình, nhưng với sự gia tăng mạnh mẽ của dân số Columbia trong 3 năm qua, chúng tôi có cơ hội để chào đón một thợ sửa ống nước thạo việc mới. Ứng cử viên cần phải có kinh nghiệm với tất cả các loại hình sửa ống nước, cả thương nghiệp lẫn dân cư. Vui lòng gửi sơ yếu lý lịch đến aceplumbing@gmail.com và chúng tôi sẽ sắp xếp một buổi phỏng vấn.","['A. pieces', 'B. flows', 'C. installations', 'D. types']",D,"Dịch đáp án: | A. pieces (n): miếng | B. flows (n): dòng, luồng | C. installations(n): cài đặt | D. types (n): loại | ------- | Dựa vào nghĩa của câu, ta chọn ""types"".",
135,(135),"Learn social media marketing tactics only at Genius Marketing's Power ConferenceAre you ready to take your social media marketing to the next level? Then _____(135) Genius Marketing's Power Conference and learn cutting-edge social media marketing tactics. _____(136). This could be the most educational two days of your year.Genius Marketing will give you real-world tactics to boost your paid and organic social media marketing efforts. _____(137) you buy social media advertising or focus on organic social media engagement, Genius Marketing's Power Conference is the conference you need to attend this year. You'll be inspired by experts, meet others with your challenges, and get actionable tactics to drive traffic, increase sales and _____(138) customer satisfaction.To apply, just click the link below.APPLICATION","Học những chiến thuật marketing trên mạng xã hội chỉ có tại Hội Nghị Quyền Năng về Marketing Thiên TàiBạn có sẵn sàng để đưa việc marketing trên mạng xã hội của bạn lên tầm cao mới? Vậy hãy tham dự Hội Nghị Quyền Năng về Marketing Thiên Tài và học những chiến thuật marketing trên mạng xã hội vượt trội. Hội nghị sẽ ở Houston vào ngày 3 và 4 Tháng Năm. Đây có thể sẽ là hai ngày học hỏi được nhiều nhất trong năm của bạn.Genius Marketing sẽ cho bạn những chiến thuật dùng trong thực tế để thúc đẩy những nỗ lực marketing trên mạng xã hội có trả tiền và tự nhiên. Dù bạn mua quảng cáo mạng xã hội hay tập trung vào tương tác mạng xã hội tự nhiên, Hội Nghị Quyền Năng về Marketing Thiên Tài là hội nghị mà bạn cần tham dự trong năm nay. Bạn sẽ được truyền cảm hứng từ các chuyên gia, gặp gỡ những người khác có cùng thử thách với bạn, và có được những chiến thuật có thể dùng được để đẩy lượng tương tác, tăng doanh số và cải thiện sự hài lòng của khách hàng.Để đăng ký, chỉ cần nhấp vào liên kết dưới đây.ĐĂNG KÝ","['A. attend', 'B. attends', 'C. attended', 'D. attending']",A,"Đây là một câu cầu khiến (câu mệnh lệnh), vì vậy ta cần dùng động từ nguyên mẫu ""attend"".",
136,(136),"Learn social media marketing tactics only at Genius Marketing's Power ConferenceAre you ready to take your social media marketing to the next level? Then _____(135) Genius Marketing's Power Conference and learn cutting-edge social media marketing tactics. _____(136). This could be the most educational two days of your year.Genius Marketing will give you real-world tactics to boost your paid and organic social media marketing efforts. _____(137) you buy social media advertising or focus on organic social media engagement, Genius Marketing's Power Conference is the conference you need to attend this year. You'll be inspired by experts, meet others with your challenges, and get actionable tactics to drive traffic, increase sales and _____(138) customer satisfaction.To apply, just click the link below.APPLICATION","Học những chiến thuật marketing trên mạng xã hội chỉ có tại Hội Nghị Quyền Năng về Marketing Thiên TàiBạn có sẵn sàng để đưa việc marketing trên mạng xã hội của bạn lên tầm cao mới? Vậy hãy tham dự Hội Nghị Quyền Năng về Marketing Thiên Tài và học những chiến thuật marketing trên mạng xã hội vượt trội. Hội nghị sẽ ở Houston vào ngày 3 và 4 Tháng Năm. Đây có thể sẽ là hai ngày học hỏi được nhiều nhất trong năm của bạn.Genius Marketing sẽ cho bạn những chiến thuật dùng trong thực tế để thúc đẩy những nỗ lực marketing trên mạng xã hội có trả tiền và tự nhiên. Dù bạn mua quảng cáo mạng xã hội hay tập trung vào tương tác mạng xã hội tự nhiên, Hội Nghị Quyền Năng về Marketing Thiên Tài là hội nghị mà bạn cần tham dự trong năm nay. Bạn sẽ được truyền cảm hứng từ các chuyên gia, gặp gỡ những người khác có cùng thử thách với bạn, và có được những chiến thuật có thể dùng được để đẩy lượng tương tác, tăng doanh số và cải thiện sự hài lòng của khách hàng.Để đăng ký, chỉ cần nhấp vào liên kết dưới đây.ĐĂNG KÝ","['A. Guide people in the industry to greatness by joining today.', 'B. The conference will be in Houston on May 3 and 4.', 'C. Registration for this two-week course will be on November 20.', 'D. Classes will be held throughout the month of March.']",B,"Dịch đáp án: | A. Hướng dẫn mọi người trong ngành đạt đến sự vĩ đại bằng cách tham gia ngay hôm nay. | B. Hội nghị sẽ diễn ra ở Houston vào ngày 3 và 4 tháng 5. | C. Việc đăng ký khóa học kéo dài hai tuần này sẽ diễn ra vào ngày 20 tháng 11. | D. Các lớp học sẽ được tổ chức trong suốt tháng Ba. | ------- | Sau chỗ trống là câu nói đến ""2 ngày tham dự hội nghị"", vì vậy câu B là câu hợp lý nhất.",
137,(137),"Learn social media marketing tactics only at Genius Marketing's Power ConferenceAre you ready to take your social media marketing to the next level? Then _____(135) Genius Marketing's Power Conference and learn cutting-edge social media marketing tactics. _____(136). This could be the most educational two days of your year.Genius Marketing will give you real-world tactics to boost your paid and organic social media marketing efforts. _____(137) you buy social media advertising or focus on organic social media engagement, Genius Marketing's Power Conference is the conference you need to attend this year. You'll be inspired by experts, meet others with your challenges, and get actionable tactics to drive traffic, increase sales and _____(138) customer satisfaction.To apply, just click the link below.APPLICATION","Học những chiến thuật marketing trên mạng xã hội chỉ có tại Hội Nghị Quyền Năng về Marketing Thiên TàiBạn có sẵn sàng để đưa việc marketing trên mạng xã hội của bạn lên tầm cao mới? Vậy hãy tham dự Hội Nghị Quyền Năng về Marketing Thiên Tài và học những chiến thuật marketing trên mạng xã hội vượt trội. Hội nghị sẽ ở Houston vào ngày 3 và 4 Tháng Năm. Đây có thể sẽ là hai ngày học hỏi được nhiều nhất trong năm của bạn.Genius Marketing sẽ cho bạn những chiến thuật dùng trong thực tế để thúc đẩy những nỗ lực marketing trên mạng xã hội có trả tiền và tự nhiên. Dù bạn mua quảng cáo mạng xã hội hay tập trung vào tương tác mạng xã hội tự nhiên, Hội Nghị Quyền Năng về Marketing Thiên Tài là hội nghị mà bạn cần tham dự trong năm nay. Bạn sẽ được truyền cảm hứng từ các chuyên gia, gặp gỡ những người khác có cùng thử thách với bạn, và có được những chiến thuật có thể dùng được để đẩy lượng tương tác, tăng doanh số và cải thiện sự hài lòng của khách hàng.Để đăng ký, chỉ cần nhấp vào liên kết dưới đây.ĐĂNG KÝ","['A. Either', 'B. Whether', 'C. Rather', 'D. Not only']",B,"Dịch đáp án: | A. Either: hoặc là | B. Whether: cho dù | C. Rather: đúng hơn | D. Not only: không chỉ | ------- | Dựa vào nghĩa của câu này và câu trước đó, ta chọn ""whether"".",
138,(138),"Learn social media marketing tactics only at Genius Marketing's Power ConferenceAre you ready to take your social media marketing to the next level? Then _____(135) Genius Marketing's Power Conference and learn cutting-edge social media marketing tactics. _____(136). This could be the most educational two days of your year.Genius Marketing will give you real-world tactics to boost your paid and organic social media marketing efforts. _____(137) you buy social media advertising or focus on organic social media engagement, Genius Marketing's Power Conference is the conference you need to attend this year. You'll be inspired by experts, meet others with your challenges, and get actionable tactics to drive traffic, increase sales and _____(138) customer satisfaction.To apply, just click the link below.APPLICATION","Học những chiến thuật marketing trên mạng xã hội chỉ có tại Hội Nghị Quyền Năng về Marketing Thiên TàiBạn có sẵn sàng để đưa việc marketing trên mạng xã hội của bạn lên tầm cao mới? Vậy hãy tham dự Hội Nghị Quyền Năng về Marketing Thiên Tài và học những chiến thuật marketing trên mạng xã hội vượt trội. Hội nghị sẽ ở Houston vào ngày 3 và 4 Tháng Năm. Đây có thể sẽ là hai ngày học hỏi được nhiều nhất trong năm của bạn.Genius Marketing sẽ cho bạn những chiến thuật dùng trong thực tế để thúc đẩy những nỗ lực marketing trên mạng xã hội có trả tiền và tự nhiên. Dù bạn mua quảng cáo mạng xã hội hay tập trung vào tương tác mạng xã hội tự nhiên, Hội Nghị Quyền Năng về Marketing Thiên Tài là hội nghị mà bạn cần tham dự trong năm nay. Bạn sẽ được truyền cảm hứng từ các chuyên gia, gặp gỡ những người khác có cùng thử thách với bạn, và có được những chiến thuật có thể dùng được để đẩy lượng tương tác, tăng doanh số và cải thiện sự hài lòng của khách hàng.Để đăng ký, chỉ cần nhấp vào liên kết dưới đây.ĐĂNG KÝ","['A. divide', 'B. improve', 'C. devalue', 'D. endure']",B,"Dịch đáp án: | A. divide (v): chia | B. improve (v): cải thiện | C. devalue (v): phá giá | D. endure (v): chịu đựng | ------- | Dựa vào nghĩa của câu, ta chọn ""improve"".",
